County,Year,UnE Rate
Siskiyou,2016,8.618181818
Solano,2009,10.39166667
Solano,2010,12.61
Solano,2011,12.1
Solano,2012,10.5
Solano,2013,9.066666667
Solano,2014,7.5
Solano,2015,6.125
Solano,2016,5.5
Sonoma,2009,9.416666667
Sonoma,2010,10.85
Sonoma,2011,10.2
Sonoma,2012,8.633333333
Sonoma,2013,7.066666667
Sonoma,2014,5.583333333
Sonoma,2015,4.491666667
Sonoma,2016,4.009090909
Stanislaus,2009,15.51666667
Stanislaus,2010,16.97
Stanislaus,2011,16.37272727
Stanislaus,2012,14.46666667
Stanislaus,2013,12.88333333
Stanislaus,2014,11.14166667
Stanislaus,2015,9.508333333
Stanislaus,2016,8.590909091
Sutter,2009,16.46666667
Sutter,2010,18.55
Sutter,2011,17.92727273
Sutter,2012,16.16666667
Sutter,2013,14.6
Sutter,2014,12.625
Sutter,2015,10.78333333
Sutter,2016,9.8
Tehama,2009,13.63333333
Tehama,2010,15.41
Tehama,2011,14.9
Tehama,2012,13.16666667
Tehama,2013,11.5
Tehama,2014,9.6
Tehama,2015,7.958333333
Tehama,2016,7.318181818
Trinity,2009,16.84166667
Trinity,2010,17.24
Trinity,2011,16.44545455
Trinity,2012,13.43333333
Trinity,2013,11.98333333
Trinity,2014,9.475
Trinity,2015,7.858333333
Trinity,2016,6.936363636
Tulare,2009,14.86666667
Tulare,2010,17.34
Tulare,2011,16.92727273
Tulare,2012,15.2
Tulare,2013,14.35
Tulare,2014,13.11666667
Tulare,2015,11.68333333
Tulare,2016,11.21818182
Tuolumne,2009,12.18333333
Tuolumne,2010,15.27
Tuolumne,2011,14.32727273
Tuolumne,2012,12.43333333
Tuolumne,2013,10.76666667
Tuolumne,2014,8.641666667
Tuolumne,2015,7.125
Tuolumne,2016,6.327272727
Ventura,2009,9.641666667
Ventura,2010,10.85
Ventura,2011,10.21818182
Ventura,2012,8.866666667
Ventura,2013,7.883333333
Ventura,2014,6.633333333
Ventura,2015,5.675
Ventura,2016,5.236363636
Yolo,2009,11.01666667
Yolo,2010,12.18
Yolo,2011,11.66363636
Yolo,2012,10.13333333
Yolo,2013,9.016666667
Yolo,2014,7.525
Yolo,2015,6.425
Yolo,2016,5.836363636
Yuba,2009,16.84166667
Yuba,2010,17.85
Yuba,2011,16.80909091
Yuba,2012,14.8
Yuba,2013,13.1
Yuba,2014,11.175
Yuba,2015,9.25
Yuba,2016,8.645454545
